Curso,Período,Código da Disciplina,Nome da Disciplina,Dia da Semana,Professor,Horário
CCO,7,CIC271,Processamento Digital de Imagens,2,7,T345
CCO,7,CIC271,Processamento Digital de Imagens,2,7,T12
CCO,7,COM212,Gerência de Projeto de Software,3,1,M45
CCO,7,COM212,Gerência de Projeto de Software,1,1,T12
CCO,7,COM213,Interação Humano-Computador,3,6,T12
CCO,7,COM213,Interação Humano-Computador,1,6,T345
CCO,7,COM222,Desenvolvimento de Sistemas na Web,1,15,M123
CCO,7,COM222,Desenvolvimento de Sistemas na Web,2,15,M45
CCO,7,COM242,Sistemas Distribuídos,1,16,M45
CCO,7,COM242,Sistemas Distribuídos,3,16,T345
