Curso,Período,Código da Disciplina,Nome da Disciplina,Dia da Semana,Professor,Horário
SIN,7,SIN210,Governança de TI,2,8,N12
SIN,7,SIN210,Governança de TI,1,8,N12
SIN,7,COM213,Interação Humano-Computador,5,6,N345
SIN,7,COM213,Interação Humano-Computador,3,6,N12
SIN,7,SIN412,Desenvolvimento de Aplicações em SI,1,10,N345
SIN,7,SIN412,Desenvolvimento de Aplicações em SI,4,10,N12
SIN,7,SIN413,Inteligência de Negócios,4,8,N345
SIN,7,SIN413,Inteligência de Negócios,5,8,N12
SIN,7,SIN414,Auditoria e Segurança de Sistemas de Informação,2,4,N345
SIN,7,SIN313,Organização e Métodos,3,2,N345
