Curso,Período,Código da Disciplina,Nome da Disciplina,Dia da Semana,Professor,Horário
CCO,6,CIC133,Paradigmas de Programação,2,7,M123
CCO,6,CIC133,Paradigmas de Programação,2,7,T12
CCO,6,CIC220,Compiladores,3,5,M123
CCO,6,CIC220,Compiladores,1,5,T12
CCO,6,CIC260,Inteligência Artificial,1,3,M123
CCO,6,CIC260,Inteligência Artificial,2,3,M45
CCO,6,CIC270,Computação Gráfica,1,6,T345
CCO,6,COM231,Banco de Dados II,3,18,T12
CCO,6,COM231,Banco de Dados II,1,18,M45
CCO,6,COM241,Adm. e Gerência de Redes de Computadores,3,4,T345
CCO,6,COM312,Informática e Sociedade,2,2,T345
