Curso,Período,Código da Disciplina,Nome da Disciplina,Dia da Semana,Professor,Horário
SIN,2,XDES02,Programação Orientada a Objetos,3,9,N345
SIN,2,XDES02,Programação Orientada a Objetos,4,9,N12
SIN,2,XDES04,Engenharia de Software I,1,8,N345
SIN,2,XDES04,Engenharia de Software I,3,8,N12
SIN,2,STCO01,Algoritmos e Programação I,2,14,N12
SIN,2,STCO01,Algoritmos e Programação I,1,14,N12
SIN,2,XMAC01,Matemática Discreta,5,5,N345
SIN,2,XMAC01,Matemática Discreta,4,5,N345
SIN,2,SIN411,Comportamento Organizacional,3,2,N345
SIN,2,SIN120,Organização e Arquitetura de Computadores,4,11,N12
SIN,2,SIN120,Organização e Arquitetura de Computadores,1,11,N345
