Curso,Período,Código da Disciplina,Nome da Disciplina,Dia da Semana,Professor,Horário
SIN,3,XDES03,Programação Web,2,15,N12
SIN,3,XDES03,Programação Web,1,15,N12
SIN,3,SDES05,Engenharia de Software II,4,8,N12
SIN,3,SDES05,Engenharia de Software II,3,8,N12
SIN,3,STCO02,Algoritmos e Programação II,4,14,N345
SIN,3,STCO02,Algoritmos e Programação II,1,14,N345
SIN,3,SRSC03,Organização e Arquitetura de Computadores,5,11,N345
SIN,3,SRSC03,Organização e Arquitetura de Computadores,5,11,N12
SIN,3,MAT017,Fundamentos de Lógica e Matemática Discreta,4,5,N12
SIN,3,MAT017,Fundamentos de Lógica e Matemática Discreta,3,5,N12
SIN,3,COM220,Computação Orientada a Objetos I,2,9,N12
SIN,3,COM220,Computação Orientada a Objetos I,1,9,N12
