Dia,Turno,Horário,Curso,Período,Código,Disciplina,CH,Professor
Segunda,M,1,CCO,5,COM211,Engenharia de Software II,4,Prof 8
Segunda,M,2,CCO,5,COM211,Engenharia de Software II,4,Prof 8
Segunda,M,3,CCO,5,COM211,Engenharia de Software II,4,Prof 8
Segunda,M,4,CCO,5,COM211,Engenharia de Software II,4,Prof 8
Segunda,M,1,CCO,7,COM222,Desenvolvimento de Sistemas na Web,5,Prof 15
Segunda,M,2,CCO,7,COM222,Desenvolvimento de Sistemas na Web,5,Prof 15
Segunda,M,3,CCO,7,COM222,Desenvolvimento de Sistemas na Web,5,Prof 15
Segunda,M,4,CCO,7,COM222,Desenvolvimento de Sistemas na Web,5,Prof 15
Segunda,M,5,CCO,7,COM222,Desenvolvimento de Sistemas na Web,5,Prof 15
Segunda,N,1,SIN,7,SIN412,Desenvolvimento de Aplicações em SI,5,Prof 10
Segunda,N,2,SIN,7,SIN412,Desenvolvimento de Aplicações em SI,5,Prof 10
Segunda,N,3,SIN,7,SIN412,Desenvolvimento de Aplicações em SI,5,Prof 10
Segunda,N,4,SIN,7,SIN412,Desenvolvimento de Aplicações em SI,5,Prof 10
Segunda,N,5,SIN,7,SIN412,Desenvolvimento de Aplicações em SI,5,Prof 10
Segunda,M,1,CCO,1,XDES01,Fundamentos de Programação,4,Prof 12
Segunda,M,2,CCO,1,XDES01,Fundamentos de Programação,4,Prof 12
Segunda,M,3,CCO,1,XDES01,Fundamentos de Programação,4,Prof 12
Segunda,M,4,CCO,1,XDES01,Fundamentos de Programação,4,Prof 12
Terça,M,1,CCO,1,CRSC03,Arquitetura de Computadores I,4,Prof 13
Terça,M,2,CCO,1,CRSC03,Arquitetura de Computadores I,4,Prof 13
Terça,M,3,CCO,1,CRSC03,Arquitetura de Computadores I,4,Prof 13
Terça,M,4,CCO,1,CRSC03,Arquitetura de Computadores I,4,Prof 13
Quarta,M,1,CCO,1,XMAC01,Matemática Discreta,4,Prof 5
Quarta,M,2,CCO,1,XMAC01,Matemática Discreta,4,Prof 5
Quarta,M,3,CCO,1,XMAC01,Matemática Discreta,4,Prof 5
Quarta,M,4,CCO,1,XMAC01,Matemática Discreta,4,Prof 5
Segunda,M,1,CCO,3,XDES02,Programação Orientada a Objetos,4,Prof 9
Segunda,M,2,CCO,3,XDES02,Programação Orientada a Objetos,4,Prof 9
Segunda,M,3,CCO,3,XDES02,Programação Orientada a Objetos,4,Prof 9
Segunda,M,4,CCO,3,XDES02,Programação Orientada a Objetos,4,Prof 9
Terça,M,1,CCO,3,XDES04,Engenharia de Software I,4,Prof 1
Terça,M,2,CCO,3,XDES04,Engenharia de Software I,4,Prof 1
Terça,M,3,CCO,3,XDES04,Engenharia de Software I,4,Prof 1
Terça,M,4,CCO,3,XDES04,Engenharia de Software I,4,Prof 1
Quarta,M,1,CCO,3,CRSC02,Sistemas Operacionais,4,Prof 13
Quarta,M,2,CCO,3,CRSC02,Sistemas Operacionais,4,Prof 13
Quarta,M,3,CCO,3,CRSC02,Sistemas Operacionais,4,Prof 13
Quarta,M,4,CCO,3,CRSC02,Sistemas Operacionais,4,Prof 13
Quinta,M,1,CCO,3,CTCO02,Algoritmos e Estrutura de Dados II,4,Prof 18
Quinta,M,2,CCO,3,CTCO02,Algoritmos e Estrutura de Dados II,4,Prof 18
Quinta,M,3,CCO,3,CTCO02,Algoritmos e Estrutura de Dados II,4,Prof 18
Quinta,M,4,CCO,3,CTCO02,Algoritmos e Estrutura de Dados II,4,Prof 18
Sexta,M,1,CCO,3,XMAC02,Métodos Matemáticos para Análise de Dados,4,Prof 9
Sexta,M,2,CCO,3,XMAC02,Métodos Matemáticos para Análise de Dados,4,Prof 9
Sexta,M,3,CCO,3,XMAC02,Métodos Matemáticos para Análise de Dados,4,Prof 9
Sexta,M,4,CCO,3,XMAC02,Métodos Matemáticos para Análise de Dados,4,Prof 9
Segunda,T,1,CCO,3,CMAC03,Algoritmos em Grafos,4,Prof 16
Segunda,T,2,CCO,3,CMAC03,Algoritmos em Grafos,4,Prof 16
Segunda,T,3,CCO,3,CMAC03,Algoritmos em Grafos,4,Prof 16
Segunda,T,4,CCO,3,CMAC03,Algoritmos em Grafos,4,Prof 16
Terça,M,1,CCO,5,CIC132,Linguagens Formais e Autômatos,4,Prof 5
Terça,M,2,CCO,5,CIC132,Linguagens Formais e Autômatos,4,Prof 5
Terça,M,3,CCO,5,CIC132,Linguagens Formais e Autômatos,4,Prof 5
Terça,M,4,CCO,5,CIC132,Linguagens Formais e Autômatos,4,Prof 5
Quarta,M,1,CCO,5,COM221,Computação Orientada a Objetos II,4,Prof 10
Quarta,M,2,CCO,5,COM221,Computação Orientada a Objetos II,4,Prof 10
Quarta,M,3,CCO,5,COM221,Computação Orientada a Objetos II,4,Prof 10
Quarta,M,4,CCO,5,COM221,Computação Orientada a Objetos II,4,Prof 10
Quinta,M,1,CCO,5,COM230,Banco de Dados I,4,Prof 12
Quinta,M,2,CCO,5,COM230,Banco de Dados I,4,Prof 12
Quinta,M,3,CCO,5,COM230,Banco de Dados I,4,Prof 12
Quinta,M,4,CCO,5,COM230,Banco de Dados I,4,Prof 12
Sexta,M,1,CCO,5,COM240,Redes de Computadores,4,Prof 4
Sexta,M,2,CCO,5,COM240,Redes de Computadores,4,Prof 4
Sexta,M,3,CCO,5,COM240,Redes de Computadores,4,Prof 4
