Dia,Turno,Horário,Curso,PPC,Período,Código,Disciplina,CH,Professor
Segunda,M,1,CCO,0,5,COM211,Engenharia de Software II,4,Prof 8
Segunda,M,2,CCO,0,5,COM211,Engenharia de Software II,4,Prof 8
Segunda,M,3,CCO,0,5,COM211,Engenharia de Software II,4,Prof 8
Segunda,M,4,CCO,0,5,COM211,Engenharia de Software II,4,Prof 8
Segunda,N,1,SIN,2022,3,SDES05,Engenharia de Software II,4,Prof 8
Segunda,N,2,SIN,2022,3,SDES05,Engenharia de Software II,4,Prof 8
Segunda,N,3,SIN,2022,3,SDES05,Engenharia de Software II,4,Prof 8
Segunda,N,4,SIN,2022,3,SDES05,Engenharia de Software II,4,Prof 8
Segunda,T,1,SIN,2017,7,SIN210,Governança de TI,4,Prof 8
Segunda,T,2,SIN,2017,7,SIN210,Governança de TI,4,Prof 8
Segunda,T,3,SIN,2017,7,SIN210,Governança de TI,4,Prof 8
Segunda,T,4,SIN,2017,7,SIN210,Governança de TI,4,Prof 8
Terça,N,1,SIN,2017,7,SIN413,Inteligência de Negócios,4,Prof 8
Terça,N,2,SIN,2017,7,SIN413,Inteligência de Negócios,4,Prof 8
Terça,N,3,SIN,2017,7,SIN413,Inteligência de Negócios,4,Prof 8
Terça,N,4,SIN,2017,7,SIN413,Inteligência de Negócios,4,Prof 8
